Title,Artist,Genre,Year,BPM,Energy,Danceability,Length,Popularity
Story of My Life,One Direction,boy band,2013,121,66,60,245,81
Just Give Me a Reason (feat. Nate Ruess),P!nk,dance pop,2013,95,55,78,243,81
Hall of Fame,The Script,celtic rock,2013,85,87,42,203,80
Roar,Katy Perry,dance pop,2013,180,77,55,224,78
We Can't Stop,Miley Cyrus,dance pop,2013,80,62,61,231,78
Don't You Worry Child - Radio Edit,Swedish House Mafia,big room,2013,129,84,61,213,78
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,electro,2013,116,81,79,248,77
Wrecking Ball,Miley Cyrus,dance pop,2013,120,42,53,221,77
Impossible,James Arthur,pop,2013,170,70,38,209,77
Blurred Lines,Robin Thicke,dance pop,2013,120,60,85,264,76
Heart Attack,Demi Lovato,dance pop,2013,174,79,50,211,76
We Are Never Ever Getting Back Together,Taylor Swift,pop,2013,86,68,63,193,75
Die Young,Kesha,dance pop,2013,128,70,71,212,75
Clarity,Zedd,complextro,2013,128,78,51,271,75
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,art pop,2013,126,81,57,215,74
Under Control,Calvin Harris,dance pop,2013,126,92,54,184,74
Everybody Talks,Neon Trees,indie pop,2013,155,92,47,177,74
"Hold On, We're Going Home",Drake,canadian hip hop,2013,100,41,77,228,73
Best Song Ever,One Direction,boy band,2013,118,88,65,200,73
Kiss You,One Direction,boy band,2013,90,93,63,183,73
Sweet Nothing (feat. Florence Welch),Calvin Harris,dance pop,2013,128,93,57,213,72
Lose Yourself to Dance,Daft Punk,electro,2013,100,66,83,354,72
Work Bitch,Britney Spears,dance pop,2013,128,82,63,248,71
Brave,Sara Bareilles,acoustic pop,2013,185,84,55,221,71
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,dance pop,2013,146,93,63,258,70
Feel This Moment (feat. Christina Aguilera),Pitbull,dance pop,2013,136,76,67,230,70
Beneath Your Beautiful,Labrinth,pop,2013,84,52,56,272,70
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,dance pop,2013,125,68,66,252,70
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,dance pop,2013,95,53,78,236,69
If I Lose Myself - Alesso vs OneRepublic,OneRepublic,dance pop,2013,126,75,52,215,69
The Way,Ariana Grande,dance pop,2013,82,88,65,227,68
Suit & Tie,Justin Timberlake,dance pop,2013,102,60,80,326,68
#thatPOWER,will.i.am,dance pop,2013,128,61,80,280,68
I Love It (feat. Charli XCX),Icona Pop,candy pop,2013,126,91,71,157,67
Play Hard (feat. Ne-Yo & Akon) - New Edit,David Guetta,dance pop,2013,130,87,72,209,67
Daylight,Maroon 5,pop,2013,120,67,66,225,66
Love Somebody,Maroon 5,pop,2013,120,78,68,230,65
A Little Party Never Killed Nobody (All We Got),Fergie,dance pop,2013,130,62,76,241,65
Move,Little Mix,dance pop,2013,121,74,85,224,63
Walks Like Rihanna,The Wanted,boy band,2013,126,82,56,202,62
Rock N Roll,Avril Lavigne,canadian pop,2013,184,96,47,207,61
Heartbreaker,Justin Bieber,canadian pop,2013,105,52,56,263,61
Mirrors - Radio Edit,Justin Timberlake,dance pop,2013,77,60,58,277,60
Next To Me,Emeli Sande,dance pop,2013,95,80,67,197,60
Made In The USA,Demi Lovato,dance pop,2013,87,86,58,196,60
Clown,Emeli Sande,dance pop,2013,130,23,45,221,60
Girl On Fire (feat. Nicki Minaj) - Inferno Version,Alicia Keys,hip pop,2013,93,81,55,271,59
TKO,Justin Timberlake,dance pop,2013,138,68,61,424,58
Come & Get It,Selena Gomez,dance pop,2013,80,79,55,232,57
Live It Up,Jennifer Lopez,dance pop,2013,128,73,69,244,57
We Own The Night,The Wanted,boy band,2013,104,94,55,206,56
Atlas - From 揟he Hunger Games: Catching Fire?Soundtrack,Coldplay,permanent wave,2013,136,45,28,236,55
What About Love,Austin Mahone,dance pop,2013,100,78,63,203,54
Take Back the Night,Justin Timberlake,dance pop,2013,107,66,59,353,54
Applause,Lady Gaga,dance pop,2013,140,78,67,212,52
Anything Could Happen,Ellie Goulding,dance pop,2013,103,78,70,286,52
Finally Found You,Enrique Iglesias,dance pop,2013,128,88,62,221,52
Pom Poms,Jonas Brothers,boy band,2013,148,98,68,198,52
#Beautiful,Mariah Carey,dance pop,2013,107,76,68,200,51
How Ya Doin'? (feat. Missy Elliott),Little Mix,dance pop,2013,201,95,36,211,50
Crazy Kids (feat. will.i.am),Kesha,dance pop,2013,128,75,72,229,46
"Ooh La La (from ""The Smurfs 2"")",Britney Spears,dance pop,2013,128,57,69,257,45
People Like Us,Kelly Clarkson,dance pop,2013,128,79,60,259,45
Overdose,Ciara,dance pop,2013,107,70,77,227,43
Right Now - Dyro Radio Edit,Rihanna,barbadian pop,2013,130,74,53,186,42
Give It 2 U,Robin Thicke,dance pop,2013,127,83,67,230,41
Foolish Games,Jewel,alaska indie,2013,132,34,51,250,36
Outta Nowhere (feat. Danny Mercer),Pitbull,dance pop,2013,95,84,71,207,35
Freak,Kelly Rowland,atl hip hop,2013,104,78,65,274,28
All of Me,John Legend,neo mellow,2014,120,26,42,270,86
Stay With Me,Sam Smith,pop,2014,84,42,42,173,85
Summer,Calvin Harris,dance pop,2014,128,86,60,223,80
"Happy - From ""Despicable Me 2""",Pharrell Williams,dance pop,2014,160,82,65,233,79
Rude,MAGIC!,pop,2014,144,76,77,225,79
Shake It Off,Taylor Swift,pop,2014,160,80,65,219,78
Dark Horse,Katy Perry,dance pop,2014,132,59,65,216,78
Hey Brother,Avicii,big room,2014,125,78,55,255,78
Maps,Maroon 5,pop,2014,120,71,74,190,78
Treasure,Bruno Mars,pop,2014,116,69,87,179,77
Let Her Go,Passenger,folk-pop,2014,75,54,51,253,77
Problem,Ariana Grande,dance pop,2014,103,81,66,194,75
